Raman shift (cm-1) - Current Spectrum	Intensity (Counts) - Current Spectrum	
2972.25	25314	
2973.5	24977	
2974.75	24770	
2976.01	25571	
2977.26	24600	
2978.51	25425	
2979.76	24966	
2981.02	24735	
2982.26	24567	
2983.52	24604	
2984.76	24794	
2986.01	24083	
2987.26	24030	
2988.51	24357	
2989.75	24373	
2991	23965	
2992.24	23859	
2993.49	23887	
2994.73	23977	
2995.98	24081	
2997.22	23550	
2998.46	23996	
2999.7	23735	
3000.94	23548	
3002.18	23302	
3003.42	23365	
3004.66	23673	
3005.9	23385	
3007.14	23175	
3008.38	23149	
3009.61	23270	
3010.85	22606	
3012.09	22703	
3013.32	22906	
3014.56	22748	
3015.79	22539	
3017.02	22528	
3018.25	22537	
3019.49	22530	
3020.72	22530	
3021.95	22352	
3023.18	22622	
3024.41	21963	
